,model,lr,n_epochs,hidden_size,weight_decay,model_name,Test Accuracy,Test F1,max_depth,min_samples_split,min_samples_leaf,criterion,n_estimators,max_features,C,penalty,solver,max_iter,class_weight
217,MLP,0.0001,200.0,256.0,0.01,MLP,0.3877551020408163,0.19135953342905163,,,,,,,,,,,
218,MLP,0.0001,200.0,256.0,0.001,MLP,0.42346938775510207,0.21508482180751087,,,,,,,,,,,
219,MLP,0.0001,200.0,512.0,0.1,MLP,0.41836734693877553,0.2104848019778388,,,,,,,,,,,
220,MLP,0.0001,200.0,512.0,0.01,MLP,0.45918367346938777,0.2415605933959981,,,,,,,,,,,
221,MLP,0.0001,200.0,512.0,0.001,MLP,0.45408163265306123,0.2172043010752688,,,,,,,,,,,
222,MLP,0.0001,200.0,1024.0,0.1,MLP,0.39285714285714285,0.18488180942123464,,,,,,,,,,,
223,MLP,0.0001,200.0,1024.0,0.01,MLP,0.3979591836734694,0.22163877186319625,,,,,,,,,,,
224,MLP,0.0001,200.0,1024.0,0.001,MLP,0.3469387755102041,0.17996403742806621,,,,,,,,,,,
225,MLP,0.0001,500.0,64.0,0.1,MLP,0.46938775510204084,0.2337612733749581,,,,,,,,,,,
226,MLP,0.0001,500.0,64.0,0.01,MLP,0.4030612244897959,0.20534954407294834,,,,,,,,,,,
227,MLP,0.0001,500.0,64.0,0.001,MLP,0.39285714285714285,0.198341307814992,,,,,,,,,,,
228,MLP,0.0001,500.0,128.0,0.1,MLP,0.39285714285714285,0.22957610938036285,,,,,,,,,,,
229,MLP,0.0001,500.0,128.0,0.01,MLP,0.3877551020408163,0.1953163570110614,,,,,,,,,,,
230,MLP,0.0001,500.0,128.0,0.001,MLP,0.3877551020408163,0.19706146670220892,,,,,,,,,,,
231,MLP,0.0001,500.0,256.0,0.1,MLP,0.42857142857142855,0.2511785499684078,,,,,,,,,,,
232,MLP,0.0001,500.0,256.0,0.01,MLP,0.39285714285714285,0.2002805418293132,,,,,,,,,,,
233,MLP,0.0001,500.0,256.0,0.001,MLP,0.3826530612244898,0.2931110633973175,,,,,,,,,,,
